userId,movieId,rating,timestamp,imdbId,title
227,2321,1,08/12/1998 16:23,tt0120789,Pleasantville
213,56949,2,07/05/2016 16:27,tt0988595,27 Dresses
272,95510,5,23/01/2016 22:22,tt0948470,The Amazing Spider-Man
475,99813,4,11/11/2015 15:31,tt2166834,"Batman: The Dark Knight Returns, Part 2"
203,1748,4.5,10/11/2008 12:53,tt0118929,Dark City
624,3258,3,18/04/2002 11:18,tt0104070,Death Becomes Her
594,913,5,03/10/1999 14:31,tt0033870,The Maltese Falcon
580,2502,4.5,15/08/2006 4:41,tt0151804,Office Space
247,11,4,18/03/2000 6:42,tt0112346,The American President
119,1259,5,18/05/1999 19:25,tt0092005,Stand by Me
84,3301,4,24/04/2015 21:32,tt0190138,The Whole Nine Yards
547,6813,1.5,03/01/2008 20:29,tt0059221,The Ghost & Mr. Chicken
366,724,2.5,25/05/2011 0:15,tt0115963,The Craft
468,1293,3.5,28/01/2011 7:00,tt0083987,Gandhi
575,2398,4,01/02/2002 21:29,tt0039628,Miracle on 34th Street
335,1287,3,16/01/2009 23:03,tt0052618,Ben-Hur
475,91630,3.5,11/11/2015 11:02,tt1229238,Mission: Impossible - Ghost Protocol
664,780,3.5,01/08/2012 13:25,tt0116629,Independence Day
213,112852,5,07/05/2016 15:13,tt2015381,Guardians of the Galaxy
654,1485,4.5,18/04/2006 20:28,tt0119528,Liar Liar
575,3793,1,06/04/2002 2:04,tt0120903,X-Men
620,6863,4,15/02/2016 10:30,tt0332379,School of Rock
285,440,3,01/08/2000 1:08,tt0106673,Dave
296,1772,4.5,19/02/2011 23:40,tt0118747,Blues Brothers 2000
509,281,5,08/10/1999 0:23,tt0110684,Nobody's Fool
505,1282,3,23/06/2012 0:03,tt0032455,Fantasia
126,231,4,28/05/1996 12:27,tt0109686,Dumb and Dumber
19,465,5,06/02/1997 1:51,tt0107096,Heaven & Earth
189,2827,1,04/09/2000 18:39,tt0138304,The Astronaut's Wife
268,1617,3,01/09/2011 16:26,tt0119488,L.A. Confidential
502,804,3,06/07/1997 19:38,tt0117628,She's the One
23,1584,4,26/05/2006 18:56,tt0118884,Contact
468,6,3.5,28/01/2011 6:22,tt0113277,Heat
412,4161,3,21/06/2001 1:36,tt0236493,The Mexican
380,4732,4,26/09/2002 16:28,tt0258470,Bubble Boy
48,3745,3.5,24/11/2011 22:22,tt0120913,Titan A.E.
432,296,5,27/01/2006 17:13,tt0110912,Pulp Fiction
582,6297,3.5,24/07/2005 2:04,tt0311289,Holes
304,595,1.5,11/11/2012 17:41,tt0101414,Beauty and the Beast
587,970,3.5,24/03/2005 1:10,tt0046414,Beat the Devil
120,1388,3.5,29/12/2006 19:42,tt0077766,Jaws 2
316,3623,4,16/04/2016 16:09,tt0120755,Mission: Impossible II
240,1200,4,28/10/2004 6:02,tt0090605,Aliens
74,2572,4,15/11/1999 22:35,tt0147800,10 Things I Hate About You
307,55247,5,24/04/2008 12:24,tt0758758,Into the Wild
468,535,3.5,28/01/2011 5:42,tt0108122,Short Cuts
78,6552,4,03/09/2012 11:34,tt0301199,Dirty Pretty Things
311,8535,4,07/09/2004 19:35,tt0352277,De-Lovely
514,410,3,24/01/1997 14:28,tt0106220,Addams Family Values
603,1394,5,09/07/1997 21:05,tt0093822,Raising Arizona
250,7254,5,28/07/2016 10:12,tt0289879,The Butterfly Effect
188,648,3,26/08/1996 12:56,tt0117060,Mission: Impossible
243,1255,3.5,15/06/2005 19:55,tt0092610,Bad Taste
92,76,3,20/11/1996 21:41,tt0114367,Screamers
220,3269,2,19/02/2001 15:54,tt0104291,Forever Young
177,1391,4,03/10/1998 2:05,tt0116996,Mars Attacks!
402,6157,4.5,27/09/2015 22:43,tt0287978,Daredevil
99,1948,4,29/09/1999 17:02,tt0057590,Tom Jones
19,1183,3,06/02/1997 0:53,tt0116209,The English Patient
536,340,3,14/04/1996 8:48,tt0111667,The War
290,5418,5,20/10/2015 10:33,tt0258463,The Bourne Identity
160,339,4,15/11/2000 2:52,tt0114924,While You Were Sleeping
340,7360,3,09/09/2014 8:44,tt0363547,Dawn of the Dead
667,296,5,06/11/1996 9:07,tt0110912,Pulp Fiction
427,109374,4,30/08/2014 22:32,tt2278388,The Grand Budapest Hotel
250,60037,3,29/07/2016 15:59,tt0949731,The Happening
380,3952,4,22/10/2001 16:46,tt0208874,The Contender
371,138208,4.5,08/05/2016 21:10,tt3488710,The Walk
73,481,3.5,14/10/2009 8:03,tt0107302,Kalifornia
575,2083,5,01/02/2002 20:22,tt0104940,The Muppet Christmas Carol
4,410,3,07/02/2000 10:38,tt0106220,Addams Family Values
254,223,4,12/10/1996 21:58,tt0109445,Clerks
520,648,3.5,10/03/2006 22:14,tt0117060,Mission: Impossible
641,588,4,13/06/1996 3:24,tt0103639,Aladdin
547,2300,5,21/11/2000 4:19,tt0063462,The Producers
232,1261,4,07/04/2000 6:15,tt0092991,Evil Dead II
313,8831,2.5,09/11/2005 19:07,tt0324127,Suspect Zero
387,2289,3,19/11/2000 22:57,tt0105151,The Player
664,5459,4,11/09/2012 14:36,tt0120912,Men in Black II
615,60684,4,23/08/2014 7:41,tt0409459,Watchmen
521,4993,4.5,01/06/2013 7:48,tt0120737,The Lord of the Rings: The Fellowship of the Ring
564,1268,4,20/11/2000 9:59,tt0100436,Pump up the Volume
63,2710,4,12/03/2004 13:30,tt0185937,The Blair Witch Project
517,11,5,27/10/1996 21:01,tt0112346,The American President
235,3948,4,11/04/2005 2:01,tt0212338,Meet the Parents
150,8528,4,17/05/2005 5:52,tt0364725,DodgeBall: A True Underdog Story
242,471,5,25/04/2000 18:19,tt0110074,The Hudsucker Proxy
615,58293,1.5,08/02/2016 6:43,tt0443649,"10,000 BC"
30,4503,4,05/12/2002 5:37,tt0095119,Everybody's All-American
303,4878,3.5,07/03/2011 9:16,tt0246578,Donnie Darko
605,3361,3,22/01/2001 15:02,tt0094812,Bull Durham
624,127136,2.5,04/07/2016 19:33,tt2273657,True Story
536,295,3,14/04/1996 8:48,tt0114210,A Pyromaniac's Love Story
73,1394,4,03/02/2011 10:50,tt0093822,Raising Arizona
342,246,5,13/12/1999 22:22,tt0110057,Hoop Dreams
463,490,4,29/04/2003 19:08,tt0107497,Malice
624,5401,1,12/05/2007 15:03,tt0279493,Undercover Brother
300,1210,4.5,10/02/2005 15:32,tt0086190,Return of the Jedi
295,6378,4,03/04/2005 16:10,tt0317740,The Italian Job
165,4875,1,23/03/2005 20:49,tt0279286,On the Line
408,778,5,27/07/1999 0:28,tt0117951,Trainspotting
607,1954,4,13/04/2005 15:37,tt0075148,Rocky
94,78499,4,08/12/2010 3:56,tt0435761,Toy Story 3
475,85022,1.5,11/11/2015 15:33,tt0480687,Hall Pass
624,2408,2,18/04/2002 10:01,tt0094890,Cocoon: The Return
287,2713,3.5,02/08/2016 19:41,tt0139414,Lake Placid
119,3037,5,09/03/2000 5:55,tt0065988,Little Big Man
307,54997,4.5,24/04/2008 12:23,tt0381849,3:10 to Yuma
294,3924,3,12/08/2004 15:42,tt0058440,Pajama Party
547,1484,3.5,17/05/2003 11:52,tt0116041,The Daytrippers
439,1257,3,28/12/2002 22:40,tt0088794,Better Off Dead...
56,4406,2,04/08/2016 22:50,tt0056217,The Man Who Shot Liberty Valance
527,7027,5,08/08/2010 1:56,tt0090022,Silverado
388,6612,4,21/10/2003 7:52,tt0103888,Brother's Keeper
75,260,4.5,22/03/2006 17:46,tt0076759,Star Wars
505,923,3.5,22/06/2012 22:47,tt0033467,Citizen Kane
516,319,3,07/10/1996 11:27,tt0111149,Shallow Grave
213,63859,2.5,07/05/2016 18:01,tt0397892,Bolt
48,364,4,27/10/2011 20:04,tt0110357,The Lion King
224,335,4,30/03/1996 19:26,tt0114788,The Underneath
148,2087,4,30/07/2003 22:30,tt0046183,Peter Pan
500,1197,4,10/12/2008 14:56,tt0093779,The Princess Bride
547,1346,2,29/05/2002 13:26,tt0083722,Cat People
144,344,3,15/07/1996 18:26,tt0109040,Ace Ventura: Pet Detective
49,2815,1,28/12/2000 22:09,tt0091278,Iron Eagle
645,6252,1.5,20/05/2003 8:43,tt0264150,View from the Top
574,592,3,24/01/2009 15:35,tt0096895,Batman
665,1593,3,15/07/2001 21:37,tt0119896,Picture Perfect
489,2718,5,12/12/1999 0:56,tt0157503,Drop Dead Gorgeous
125,858,4.5,27/03/2010 23:53,tt0068646,The Godfather
15,109848,3,09/03/2015 4:31,tt1441395,Under the Skin
558,999,4,05/08/2000 0:07,tt0115438,2 Days in the Valley
662,236,3,02/08/1996 21:47,tt0113117,French Kiss
75,1288,4,22/03/2006 17:34,tt0088258,This Is Spinal Tap
24,786,4,30/11/1996 2:39,tt0116213,Eraser
626,2572,3,21/11/2000 1:07,tt0147800,10 Things I Hate About You
195,2797,2,28/11/2000 13:01,tt0094737,Big
257,1263,4,26/05/2012 4:35,tt0077416,The Deer Hunter
152,586,2.5,02/05/2012 8:43,tt0099785,Home Alone
155,32,3,23/11/1999 9:40,tt0114746,Twelve Monkeys
271,1090,5,07/02/2005 14:05,tt0091763,Platoon
346,648,4,24/09/2006 20:14,tt0117060,Mission: Impossible
242,1204,5,25/04/2000 18:48,tt0056172,Lawrence of Arabia
547,3138,2,29/05/2002 13:24,tt0096171,Stealing Home
21,543,3,21/01/1997 11:54,tt0108174,So I Married an Axe Murderer
547,44864,2.5,06/04/2007 1:51,tt0436331,Friends with Money
619,246,5,12/05/1996 17:58,tt0110057,Hoop Dreams
73,5746,4.5,24/07/2014 3:24,tt0082431,Galaxy of Terror
461,35836,4,24/10/2005 6:04,tt0405422,The 40 Year Old Virgin
50,553,3,08/11/1996 0:30,tt0108358,Tombstone
212,4018,2.5,17/08/2008 6:35,tt0207201,What Women Want
423,3462,3.5,23/11/2012 17:08,tt0027977,Modern Times
548,349,4,03/03/1997 16:19,tt0109444,Clear and Present Danger
547,1196,2.5,17/05/2003 12:05,tt0080684,The Empire Strikes Back
388,8337,4,30/04/2005 21:38,tt0046816,The Caine Mutiny
574,4306,3,25/01/2009 20:20,tt0126029,Shrek
15,4776,2.5,01/06/2003 6:36,tt0139654,Training Day
8,1393,3,01/08/2006 2:45,tt0116695,Jerry Maguire
380,84392,4,22/07/2012 15:48,tt1189340,The Lincoln Lawyer
479,69122,5,25/08/2014 22:19,tt1119646,The Hangover
624,98154,3.5,10/05/2014 17:28,tt0443272,Lincoln
428,1193,5,30/04/2011 4:10,tt0073486,One Flew Over the Cuckoo's Nest
23,8984,3,26/05/2006 19:50,tt0349903,Ocean's Twelve
262,39,2.5,11/06/2015 12:15,tt0112697,Clueless
159,1580,3.5,04/07/2007 3:26,tt0119654,Men in Black
